press-cuttings,press-cutting
handover,handover
footsore,footsore
motive,motive
cynicism,cynicism
upgraded,upgrade
hangover,hangover
revenues,revenue
lotuses,lotus
sufficient,sufficient
sumpter,sumpter
raconteurs,raconteur
accompanies,accompany
eighty-firsts,eighty-first
thoroughfare,thoroughfare
kindreds,kindred
fluorescences,fluorescence
wholeheartedness,wholeheartedness
dismays,dismay
yard-measure,yard-measure
applauding,applaud
cogitating,cogitate
peerages,peerage
speedy,speedy
steady,steady
surpassing,surpassing,surpass
effervescent,effervescent
adieux,adieu
overtopped,overtop
corsages,corsage
outraging,outrage
princess,princess
abstention,abstention
wardress,wardress
presages,presage
hollower,hollow
maundering,maunder
chorale,chorale
theaters,theater
headsets,headset
borrower,borrower
night-watch,night-watch
winteriest,wintery
painters,painter
poltergeists,poltergeist
cotillions,cotillion
smoldering,smolder
bitterness,bitterness
mouldering,moulder
scriveners,scrivener
sleety,sleety
shriek,shriek
kowtowing,kowtow
quattrocentos,quattrocento
tweeters,tweeter
pointers,pointer
sweaty,sweaty
printers,printer
photocopier,photocopier
county,county
withdraws,withdraw
bestowed,bestow
acclimating,acclimate
horseflesh,horseflesh
lightning-conductors,lightning-conductor
mechanistically,mechanistically
drive-in,drive-in
self-indulgent,self-indulgent
abnegation,abnegation
shipwrecked,shipwreck
crusty,crusty
worthlessly,worthlessly
sanitary,sanitary
stony-broke,stony-broke
inexactitude,inexactitude
pastel,pastel
submarine,submarine
booby-trap,booby-trap
heartbeat,heartbeat
inhabits,inhabit
plagiarized,plagiarize
purposely,purposely
inhibits,inhibit
pendant,pendant
talking-point,talking-point
phantasy,phantasy
don't,don't
rhododendrons,rhododendron
consumption,consumption
reliant,reliant
ticket-collector,ticket-collector
lawful,lawful
conversationally,conversationally
trowel,trowel
pennant,pennant
velocities,velocity
troubadours,troubadour
deficient,deficient
proximate,proximate
comestibles,comestible
empanelling,empanel
stopcocks,stopcock
wilful,wilful
counterproductive,counterproductive
get-up,get-up
demerits,demerit
mermen,merman
silken,silken
biltong,biltong
joyful,joyful
marten,marten
prostates,prostate
jihad,jihad
octogenarians,octogenarian
lessen,lessen
spleen,spleen
convoyed,convoy
deregulations,deregulation
adage,adage
deprecation,deprecation
biped,biped
dined,dine
filed,file
inherits,inherit
kitten,kitten
listen,listen
cooed,coo
disbands,disband
apace,apace
sullen,sullen
tonic,tonic
abase,abase
abate,abate
agape,agape
witch-hazel,witch-hazel
chord,chord
ivied,ivied
proven,prove
stoic,stoic
thumbscrew,thumbscrew
agate,agate
ingratiatingly,ingratiatingly
photocopies,photocopy
tunic,tunic
agave,agave
emplaning,emplane
enplaning,enplane
cloud,cloud
underskirts,underskirt
polygon,polygon
awake,awake
behaviourism,behaviourism
hazes,haze
laves,lave
oases,oasis
pares,pare
affirming,affirm
rapes,rape
equalizing,equalize
filching,filch
amaze,amaze
crowd,crowd
gunslingers,gunslinger
motorist,motorist
aware,aware
mauls,maul
lives,live,life
oasis,oasis
parks,park
peris,peri
perks,perk
porosities,porosity
jaundices,jaundice
quantities,quantity
kiwis,kiwi
pageants,pageant
parrs,parr
perms,perm
ambulances,ambulance
custard,custard
descants,descant
idiot,idiot
entirety,entirety
loves,love
notes,note
oasts,oast
corncobs,corncob
parts,part
pores,pore
repentance,repentance
bewitched,bewitch
croft,croft
ropes,rope
sadder,sad
scots,scot
scows,scow
miniatures,miniature
self-winding,self-winding
clothing,clothing,clothe
pyres,pyre
shoes,shoe
shoos,shoo
reefer,reefer
shops,shop
purls,purl
shots,shot
shows,show
slobs,slob
clout,clout
ports,port
earner,earner
sloes,sloe
slogs,slog
slogging,slog
donut,donut
out-of-doors,out-of-doors
purrs,purr
quashing,quash
slops,slop
slots,slot
fustian,fustian
ousts,oust
killer,killer
quart,quart
introduction,introduction
slows,slow
gopher,gopher
lexicography,lexicography
implicating,implicate
recces,recce
bashes,bash
illuminates,illuminate
caries,caries
hooker,hooker
shreds,shred
snobs,snob
pieces,piece
resids,resid
foreordaining,foreordain
sables,sable
genies,genie
ninety-ninths,ninety-ninth
repeats,repeat
snobbish,snobbish
scrunch,scrunch
shooting-sticks,shooting-stick
cutler,cutler
riches,riches
dosser,dosser
snows,snow
cotter,cotter
hooter,hooter
basses,bass
sabres,sabre
bastes,baste
jumper,jumper
liverish,liverish
soots,soot
bombards,bombard
carves,carve
genres,genre
hi-fis,hi-fi
cutter,cutter
duster,duster
extricating,extricate
pranced,prance
peeves,peeve
pounds,pound
espies,espy
packet,packet
bushes,bush
collector,collector
afterthought,afterthought
busies,busy
gymnast,gymnast
price-controlled,price-controlled
intention,intention
solstices,solstice
sponging,sponge
spots,spot
bosses,boss
corses,corse
squealers,squealer
stippled,stipple
picket,picket
stooging,stooge
haulage,haulage
stops,stop
stows,stow
surface,surface
swobs,swob
swops,swop
cheerful,cheerful
curses,curse
launder,launder
resets,reset
pocket,pocket
swots,swot
curves,curve
dwarfs,dwarf
circus,circus
tangs,tang
tanks,tank
tartars,tartar
demobbed,demob
genius,genius
longterm,longterm
matured,mature
pinnaces,pinnace
sprats,sprat
accurst,accurst
gullet,gullet
asperity,asperity
obsidian,obsidian
teases,tease
temptations,temptation
cur_es,cur_e
tends,tend
blondes,blonde
dayspring,dayspring
motored,motor
praised,praise
auditors,auditor
sprits,sprit
scene-shifter,scene-shifter
tents,tent
apache,apache
thanes,thane
golf-links,golf-links
ticker,ticker
cirrus,cirrus
sunflowers,sunflower
tines,tine
tings,ting
opposites,opposite
tints,tint
colonizes,colonize
rocking-chairs,rocking-chair
corpus,corpus
strawberry,strawberry
ruckus,ruckus
tones,tone
traces,trace
trades,trade
tucker,tucker
tunes,tune
browsed,browse
undeserved,undeserved
impingements,impingement
joyfulness,joyfulness
plexus,plexus
unlaces,unlace
forwarding,forward
vales,vale
struts,strut
variance,variance
schmaltz,schmaltz
voles,vole
crinolines,crinoline
volts,volt
nosebleeds,nosebleed
upgrades,upgrade
wakes,wake
warmonger,warmonger
native,native
way-out,way-out
audiences,audience
wicket-door,wicket-door
primogeniture,primogeniture
tempter,tempter
demotes,demote
wilfulness,wilfulness
sullenness,sullenness
curtseyed,curtsey
runoff,runoff
triposes,tripos
sinuses,sinus
conquer,conquer
rooster,rooster
separate,separate
thermometer,thermometer
discover,discover
malady,malady
pharmacopoeias,pharmacopoeia
putting-green,putting-green
teacake,teacake
unwanted,unwanted
constraining,constrain
soap-opera,soap-opera
milady,milady
dauphin,dauphin
mill-girls,mill-girl
commercializing,commercialize
idolaters,idolater
rushlights,rushlight
naturism,naturism
unwonted,unwonted
melody,melody
splashdown,splashdown
gas-helmet,gas-helmet
broughams,brougham
mischievously,mischievously
twenty-fifth,twenty-fifth
coagulation,coagulation
collectivizations,collectivization
smear-word,smear-word
wallowing,wallow
trendy,trendy
obstetricians,obstetrician
refrigerating,refrigerate
rope-ladder,rope-ladder
anatomist,anatomist
efflux,efflux
safety,safety
diarrhea,diarrhea
cavity,cavity
laconically,laconically
bramble,bramble
workouts,workout
attacks,attack
prevention,prevention
sausage-dog,sausage-dog
husbandry,husbandry
subvention,subvention
orchestration,orchestration
treaty,treaty
broadcasts,broadcast
entity,entity
reattribute,reattribute
auditory,auditory
conception,conception
illusory,illusory
guaranteed,guarantee
quitters,quitter
sloppier,sloppy
oxygenates,oxygenate
twenty,twenty
delegation,delegation
tandem,tandem
harmonicas,harmonica
petrel,petrel
counterpoise,counterpoise
declensions,declension
conveyor,conveyor
sequel,sequel
sperm-whales,sperm-whale
Oct.s,Oct.
waterbird,waterbird
meaningful,meaningful
chop suey,chop suey
patchwork,patchwork
frying-pans,frying-pan
lateen,lateen
undismayed,undismayed
rampant,rampant
flowerbeds,flowerbed
mordant,mordant
remnant,remnant
interludes,interlude
signaling,signal
misstates,misstate
unpromising,unpromising
efficient,efficient
garrisoning,garrison
underworld,underworld
bellwethers,bellwether
transfers,transfer
het-up,het-up
famed,famed
paced,pace
indefinitely,indefinitely
interconnection,interconnection
soign_e,soign_e
acrid,acrid
aired,air
doornail,doornail
hiked,hike
imprisoning,imprison
renovation,renovation
unproductive,unproductive
thingummy,thingummy
whiten,whiten
blade,blade
punch-up,punch-up
coped,cope
vellum,vellum
discard,discard
brace,brace
excitements,excitement
optic,optic
self-effacing,self-effacing
fumed,fume
amble,amble
blame,blame
declare,declare
dastard,dastard
brake,brake
blare,blare
naturist,naturist
calumny,calumny
legalize,legalize
abb_e,abb_e
water-carts,water-cart
reaching,reach
wales,wale
oaths,oath
welds,weld
blaze,blaze
mavis,mavis
instantaneous,instantaneous
popgun,popgun
brave,brave
react,react
towrope,towrope
ulnas,ulna
walks,walk
walls,wall
lawns,lawn
stipples,stipple
braze,braze
wiles,wile
side-slipping,side-slip
vamps,vamp
pen-friends,pen-friend
wells,well
air-sick,air-sick
light,light
moves,move
pesos,peso
habitual,habitual
poses,pose
rejuvenation,rejuvenation
retrace,retrace
instep,instep
shortbread,shortbread
streamline,streamline
supervening,supervene
liberators,liberator
pests,pest
accordance,accordance
restauranteur,restauranteur
levitations,levitation
terrace,terrace
log-jams,log-jam
rawboned,rawboned
nouns,noun
sponsorships,sponsorship
tantalize,tantalize
tools,tool
easier,easy
joint,joint
unenterprising,unenterprising
welts,welt
indefinable,indefinable
matriculating,matriculate
miscarried,miscarry
wills,will
farmer,farmer
posts,post
joist,joist
roast,roast
persuasions,persuasion
seeker,seeker
cacophonies,cacophony
dither,dither
fecklessly,fecklessly
reputations,reputation
tidier,tidy
toots,toot
trots,trot
uproars,uproar
controverted,controvert
rafter,rafter
cruder,crude
firmer,firm
forger,forger
habitat,habitat
turncoat,turncoat
weaker,weak
bathes,bathe
cashes,cash
eventual,eventual
hipper,hip
brandish,brandish
ironmonger,ironmonger
former,former
precast,precast
ringsides,ringside
tables,table
globes,globe
wearer,wearer
hopper,hopper
weaver,weaver
dirges,dirge
hinges,hinge
fleeciest,fleecy
love-seats,love-seat
applaud,applaud
ridges,ridge
embittering,embitter
skewer,skewer
traipse,traipse
whaler,whaler
abuses,abuse
castes,caste
silversmiths,silversmith
wilts,wilt
coshes,cosh
wolds,wold
cosies,cosy
dories,dory
ultrasound,ultrasound
wolfs,wolf
surpass,surpass
thirty-ninths,thirty-ninth
gnomes,gnome
nougats,nougat
maverick,maverick
orgies,orgy
ant-eater,ant-eater
recapped,recap
Julies,July
ukases,ukase
cannibalize,cannibalize
magnet,magnet
amuses,amuse
usages,usage
anuses,anus
gloves,glove
gropes,grope
helmet,helmet
iambus,iambus
detour,detour
levered,lever
awarded,award
gimlet,gimlet
suppression,suppression
anesthetic,anesthetic
cherubs,cherub
churchgoers,churchgoer
cusses,cuss
dullards,dullard
fallibility,fallibility
groves,grove
insufficiency,insufficiency
maunder,maunder
millenarians,millenarian
azures,azure
omelet,omelet
defeating,defeat
queues,queue
radius,radius
sconces,sconce
debauchee,debauchee
outvote,outvote
adapted,adapt
one-upmanship,one-upmanship
notices,notice
scoured,scour
coverlets,coverlet
smolder,smolder
telegraph-poles,telegraph-pole
verdancy,verdancy
deflating,deflate
moulder,moulder
denudes,denude
wash-house,wash-house
pivots,pivot
shooting-boxes,shooting-box
incentives,incentive
awaited,await
cat-sleep,cat-sleep
ebullience,ebullience
agitating,agitating,agitate
animating,animate
crossed,cross
misconduct,misconduct
acquiesce,acquiesce
television,television
wisecracks,wisecrack
phrases,phrase
copycats,copycat
leveret,leveret
ballasts,ballast
valises,valise
elevating,elevate
imitative,imitative
octave,octave
palliative,palliative
triumphing,triumph
daredevil,daredevil
donates,donate
scooter,scooter
firepower,firepower
defrauds,defraud
dumbfound,dumbfound
authorship,authorship
halberdiers,halberdier
denotes,denote
reposes,repose
shooter,shooter
peruses,peruse
shorter,short
throughputs,throughput
momentously,momentously
increasing,increase
seventeens,seventeens
snorter,snorter
promontories,promontory
appreciate,appreciate
mousses,mousse
instantly,instantly
spotter,spotter
briquettes,briquette
spouses,spouse
camouflage,camouflage
harassment,harassment
stouter,stout
venerate,venerate
ninety-two,ninety-two
proposed,propose
overstrung,overstrung
deficit,deficit
cousinly,cousinly
abhorrent,abhorrent
spectaculars,spectacular
misinterpretation,misinterpretation
provincialisms,provincialism
founders,founder
vaulting-horses,vaulting-horse
seakale,seakale
cottages,cottage
eighths,eighth
innkeepers,innkeeper
washouts,washout
campaigns,campaign
blanching,blanch
wrongdoing,wrongdoing
minarets,minaret
derisory,derisory
owner-occupier,owner-occupier
branching,branch
chicanery,chicanery
hackneys,hackney
saccharin,saccharin
slapdash,slapdash
suspension,suspension
lenity,lenity
verisimilitude,verisimilitude
improved,improve
irretrievable,irretrievable
minsters,minster
ingratiates,ingratiate
yeasty,yeasty
equity,equity
flusters,fluster
flutters,flutter
spindle-shanked,spindle-shanked
steamrollered,steamroller
unsuspicious,unsuspicious
monsters,monster
scapula,scapula
fleetest,fleet
knotty,knotty
carburettors,carburettor
townsman,townsman
polyandry,polyandry
flatterers,flatterer
enticements,enticement
picturesque,picturesque
ambushing,ambush
desecration,desecration
reassuring,reassuring,reassure
shaddocks,shaddock
strophes,strophe
light-armed,light-armed
pct.s,pct.
spatula,spatula
venally,venally
attorneys,attorney
coinciding,coincide
forswears,forswear
pole-vaults,pole-vault
sorrel,sorrel
countertrade,countertrade
investigating,investigate
Nov.s,Nov.
slightly,slightly
contumacy,contumacy
bared,bare
gamed,game
crawfishes,crawfish
games-masters,games-master
hoyden,hoyden
reopen,reopen
crayfishes,crayfish
wingspan,wingspan
gratifications,gratification
rabid,rabid
hagiologies,hagiology
halitosis,halitosis
classifies,classify
touchstone,touchstone
fined,fine
scald,scald
chafe,chafe
mitten,mitten
swashbuckling,swashbuckling
inked,ink
motivation,motivation
bored,bore
doped,dope
consecutive,consecutive
holed,hole
garlands,garland
identifying,identify
bible,bible
inaudibility,inaudibility
irked,irk
refocuses,refocus
topic,topic
watchdogs,watchdog
cease,cease
duped,dupe
shard,shard
chase,chase
depredation,depredation
staid,staid
anticyclone,anticyclone
crake,crake
gingerbreads,gingerbread
sympathetic,sympathetic
crane,crane
stand,stand
override,override
crape,crape
naves,nave
pates,pate
possum,possum
finalize,finalize
tapes,tape
paths,path
unscathed,unscathed
birching,birch
crate,crate
crotchets,crotchet
lexes,lexis
acceptance,acceptance
beret,beret
crave,crave
luggage-rack,luggage-rack
fogsignals,fogsignal
lexis,lexis
sward,sward
tapis,tapis
accompanists,accompanist
craze,craze
forward,forward
novas,nova
shaft,shaft
unwraps,unwrap
indemnify,indemnify
might,might
scant,scant
vanes,vane
indescribable,indescribable
scathing,scathing
depot,depot
helot,helot
berthing,berth
staccato,staccato
dauber,dauber
gamut,gamut
hessian,hessian
indemnifications,indemnification
asset,asset
junctures,juncture
chastise,chastise
quibblers,quibbler
rebut,rebut
slant,slant
downgrading,downgrade
slashing,slash
smashing,smashing,smash
spectra,spectrum
steward,steward
title-pages,title-page
limber,limber
robot,robot
caesura,caesura
fishmonger,fishmonger
girder,girder
kinder,kind
milder,mild
satisfactions,satisfaction
garner,garner
smart,smart
implants,implant
kwacha,kwacha
either,either
fisher,fisher
delineations,delineation
rigger,rigger
molder,molder
parishioner,parishioner
inflections,inflection
promulgate,promulgate
burst,burst
collections,collection
bathysphere,bathysphere
faster,fast
entrants,entrant
garter,garter
gorier,gory
lumber,lumber
clove hitch,clove hitch
dashes,dash
fester,fester
limper,limp
bowler,bowler
miller,miller
furloughs,furlough
overt,overt
permanent,permanent
putts,putt
rugger,rugger
sedges,sedge
primer,primer
sharpshooters,sharpshooter
outstations,outstation
sifter,sifter
dishes,dish
paddle-wheels,paddle-wheel
cities,city
grubbiest,grubby
bearded,bearded,beard
foster,foster
biretta,biretta
replanting,replant
placards,placard
sidles,sidle
softer,soft
start,start
braided,braid
horror-stricken,horror-stricken
keynote,keynote
stashing,stash
suffer,suffer
swathing,swathe
tattooed,tattoo
teeter,teeter
reeves,reeve
rounds,round
apologist,apologist
basket,basket
boarded,board
branded,brand
abrades,abrade
collaring,collar
connector,connector
gannet,gannet
hamlet,hamlet
invention,invention
carpet,carpet
racket,racket
dosses,doss
eyries,eyry,eyrie
noises,noise
reformers,reformer
advisors,advisor
sailing-boats,sailing-boat
hooves,hoof
topis,topi
brutes,brute
types,type
convector,convector
vends,vend
rigour,rigour
vents,vent
lowbred,lowbred
offset,offset
rampage,rampage
rocket,rocket
foregone,foregone
peonage,peonage
discus,discus
hellcats,hellcat
cornet,cornet
departs,depart
lowered,lower
nugget,nugget
patronizing,patronizing,patronize
pewits,pewit
canonizes,canonize
sadhus,sadhu
disciplining,discipline
salvage,salvage
corset,corset
sublet,sublet
greasiest,greasy
paltriest,paltry
borage,borage
requiem,requiem
appetites,appetite
conductor,conductor
selvage,selvage
tommy-gun,tommy-gun
housetop,housetop
transliteration,transliteration
venturesome,venturesome
vines,vine
wheelhouses,wheelhouse
wimps,wimp
rummage,rummage
wombs,womb
accosts,accost
blasted,blasted,blast
citrus,citrus
deports,deport
gullibility,gullibility
rhesus,rhesus
boasted,boast
wombats,wombat
asserts,assert
yokes,yoke
mahout,mahout
aerates,aerate
legates,legate
contrives,contrive
diagrammatic,diagrammatic
drowsed,drowse
mavises,mavis
proposer,proposer
scutcheon,scutcheon
tautological,tautological
typecast,typecast
queerness,queerness
shepherding,shepherd
backdate,backdate
microprocessor,microprocessor
chaise longues,chaise longue
confiscate,confiscate
fragmenting,fragment
cultivate,cultivate
sportswear,sportswear
tiremaker,tiremaker
unlighted,unlighted
marmoset,marmoset
self-confident,self-confident
altruistic,altruistic
blowlamps,blowlamp
exuberant,exuberant
documenting,document
proposes,propose
unscramble,unscramble
glimpsed,glimpse
trotter,trotter
genuflected,genuflect
foregathers,foregather
ham-handed,ham-handed
synchronize,synchronize
emphasize,emphasize
niggardly,niggardly
bloodhound,bloodhound
irritability,irritability
ethnologists,ethnologist
bailey,bailey
sojourners,sojourner
bitter-sweet,bitter-sweet
ejaculation,ejaculation
insiders,insider
thirty-two,thirty-two
counterpoints,counterpoint
improver,improver
merry-go-rounds,merry-go-round
invaluable,invaluable
hockey,hockey
moorhens,moorhen
categorized,categorize
pitch-dark,pitch-dark
sinusitis,sinusitis
slumberers,slumberer
subeditor,subeditor
restructurings,restructuring
yellowing,yellow
improves,improve
nemesis,nemesis
pailliasse,pailliasse
advisory,advisory
winnowing,winnow
audible,audible
ruffianly,ruffianly
mineworkers,mineworker
validates,validate
decolonized,decolonize
faulty,faulty
plundering,plunder
snifters,snifter
halloweens,halloween
chimneys,chimney
droopingly,droopingly
sorrowing,sorrow
gunwale,gunwale
asparagus,asparagus
farrowed,farrow
skitters,skitter
fruity,fruity
thousandth,thousandth
outfoxing,outfox
ventilate,ventilate
greatest,great
ouija-board,ouija-board
megabits,megabit
scruple,scruple
overbids,overbid
deferentially,deferentially
hypnotizing,hypnotize
paraplegics,paraplegic
metaphorical,metaphorical
furrowed,furrow
levitates,levitate
ascetics,ascetic
backslide,backslide
truthfully,truthfully
deployed,deploy
consigning,consign
handiwork,handiwork
inexpediency,inexpediency
loyally,loyally
butterscotch,butterscotch
shrilly,shrilly
royalties,royalty
storerooms,storeroom
megacycles,megacycle
stubborn,stubborn
cookwares,cookware
zoot suit,zoot suit
based,base
cared,care
contraband,contraband
propitiation,propitiation
acted,act
piquant,piquant
backside,backside
idled,idle
pin-up,pin-up
raced,race
spiraling,spiral
statuary,statuary
windsocks,windsock
outperform,outperform
plead,plead
annealed,anneal
purposeless,purposeless
cable,cable
objectionably,objectionably
spoken,speak
addle,addle
indemnity,indemnity
laird,laird
stolen,stolen,steal
bestride,bestride
cored,core
fishing-tackle,fishing-tackle
joked,joke
mallard,mallard
sloven,sloven
wampum,wampum
whispering-galleries,whispering-gallery
babysits,babysit
bused,bus
cured,cure
fiord,fiord
flood,flood
fjord,fjord
humid,humid
drake,drake
contamination,contamination
cowhands,cowhand
frond,frond
carat,carat
shogun,shogun
wands,wand
drape,drape
forknown,foreknow
decease,decease
gas-oven,gas-oven
caret,caret
presbyter,presbyter
teaching,teaching,teach
wanes,wane
pseud,pseud
saris,sari
serfs,serf
wends,wend
beset,beset
scrutinizing,scrutinize
wanks,wank
winds,wind
deforming,deform
mixes,mix
float,float
pleat,pleat
industry,industry
plugging,plug
rasps,rasp
rises,rise
aggregated,aggregate
sabot,sabot
night,night
plugs,plug
exhaustion,exhaustion
mayoralties,mayoralty
inlet,inlet
polecat,polecat
light-heartedness,light-heartedness
plunging,plunge
poufs,pouf
risks,risk
ground-rent,ground-rent
organizer,organizer
bandolier,bandolier
lancer,lancer
deviants,deviant
harder,harder,hard
islet,islet
newts,newt
member,member
plums,plum
rationalizes,rationalize
rests,rest
father,father
hip-pocket,hip-pocket
intelligentsia,intelligentsia
lender,lender
roses,rose
ruses,ruse
lanker,lank
pours,pour
front,front
rusks,rusk
flout,flout
pouts,pout
frothing,froth
screwing,screw
linger,linger
paradises,paradise
canoeists,canoeist
harper,harper
frost,frost
sires,sire
sores,sore
sorts,sort
acceded,accede
farces,farce
curst,curst
fatter,fat
longer,longer,long
observation,observation
rusts,rust
surds,surd
hair-triggers,hair-trigger
surprise,surprise
cavalry,cavalry
fetter,fetter
paranoiacs,paranoiac
registering,register
sybarite,sybarite
toast,toast
portentously,portentously
strawing,straw
fitter,fitter
gusher,gusher
bevies,bevy
elucidating,elucidate
reseats,reseat
tract,tract
kroner,krone
sieges,siege
northerners,northerner
scenes,scene
forces,force
lilies,lily
mummer,mummer
sandblasts,sandblast
causes,cause
checkered,checker
biologist,biologist
clubfoot,clubfoot
addicts,addict
forges,forge
lady-killers,lady-killer
rifles,rifle
langur,langur
squads,squad
sachet,sachet
squids,squid
strewing,strew
tidies,tidy
forefoot,forefoot
pilot-cloth,pilot-cloth
casket,casket
chutes,chute
oxides,oxide
quiver,quiver
duties,duty
furies,fury
coupes,coupe
mountebank,mountebank
abducts,abduct
opines,opine
jinxes,jinx
orchards,orchard
bloodstock,bloodstock
comparing,compare
ensues,ensue
fortes,forte
caucus,caucus
devour,devour
cruses,cruse
hilarity,hilarity
leucocytes,leucocyte
olives,olive
parasites,parasite
petered,peter
secret,secret
shanghais,shanghai
amulet,amulet
proprietors,proprietor
cruxes,crux
sieves,sieve
commotion,commotion
socket,socket
conjugation,conjugation
creators,creator
besmears,besmear
homesick,homesick
deposed,depose
inseminated,inseminate
massage,massage
rivets,rivet
message,message
sermonizing,sermonize
novices,novice
sounds,sound
chanted,chant
cosset,cosset
disciple,disciple
odious,odious
crafted,craft
gentians,gentian
disinherit,disinherit
homage,homage
charted,chart
orneriest,ornery
plebeian,plebeian
pledge,pledge
chatted,chat
paratroopers,paratrooper
pouffe,pouffe
relapsing,relapse
replaced,replace
schematically,schematically
shunts,shunt
squats,squat
strafe,strafe
swedes,swede
evocative,evocative
specializations,specialization
coasted,coast
tablet,tablet
strife,strife
tapered,taper
coatees,coatee
spurts,spurt
berates,berate
newscast,newscast
rebates,rebate
stunts,stunt
tapises,tapis
tillage,tillage
experts,expert
ignoblest,ignoble
papooses,papoose
trademarks,trademark
operative,operative
trait,trait
cubists,cubist
triumph,triumph
relocating,relocate
uncles,uncle
unconvincing,unconvincing
unmanageably,unmanageably
upsets,upset
verruca,verruca
absorbed,absorb
subgroups,subgroup
viols,viol
wants,want
tapster,tapster
wardrobe,wardrobe
exports,export
hydrating,hydrate
exchanges,exchange
glimpses,glimpse
truncheon,truncheon
weaves,weave
whales,whale
wicker,wicker
accrues,accrue
eclipsed,eclipse
assemblies,assembly
materializing,materialize
lambasting,lambaste
shrive,shrive
deputes,depute
tipster,tipster
primrose,primrose
wines,wine
wings,wing
wing-commanders,wing-commander
winks,wink
winos,wino
countrified,countrified
muscleman,muscleman
claques,claque
wormhole,wormhole
lightsomeness,lightsomeness
teenager,teenager
yells,yell
yelps,yelp
yolks,yolk
metalworker,metalworker
grappling-iron,grappling-iron
strive,strive
ninety-fifth,ninety-fifth
unloosed,unloose
simultaneous,simultaneous
strove,strive
mileages,mileage
Mondays,Monday
offshoots,offshoot
trampolines,trampoline
transparencies,transparency
on pain of,on pain of
supply-siders,supply-sider
toboggans,toboggan
unceremoniousness,unceremoniousness
anecdotes,anecdote
promoted,promote
shindy,shindy
benefactors,benefactor
immaterial,immaterial
outmarch,outmarch
doorframes,doorframe
alms-houses,alms-house
forsake,forsake
divestment,divestment
plagiarizes,plagiarize
overburdening,overburden
overworking,overwork
refractories,refractory
fly-fishing,fly-fishing,fly-fish
quiescent,quiescent
bolt-hole,bolt-hole
baking-powder,baking-powder
ninety,ninety
shifty,shifty
resplendent,resplendent
disputant,disputant
flourished,flourish
mellowed,mellow
polity,polity
touch-typing,touch-type
shirty,shirty
breech-blocks,breech-block
musclemen,muscleman
scribbling-block,scribbling-block
stockbreeders,stockbreeder
biplane,biplane
belladonna,belladonna
thriftless,thriftless
hydro-thermal,hydro-thermal
trumpeters,trumpeter
counterirritants,counterirritant
uncontrollably,uncontrollably
down-to-earth,down-to-earth
ex-directory,ex-directory
postdates,postdate
stripier,stripy
predicative,predicative
tassel,tassel
twisters,twister
twitters,twitter
clearinghouses,clearinghouse
occupying,occupy
rearwards,rearwards,rearward
abrogation,abrogation
unregenerate,unregenerate
woodcocks,woodcock
camp-stool,camp-stool
valiant,valiant
hangnail,hangnail
supplicants,supplicant
transacted,transact
pressuring,pressure
universal,universal
outbraves,outbrave
presumption,presumption
fumigation,fumigation
replant,replant
dribbling,dribble
searchers,searcher
employed,employ
hexagon,hexagon
impanelling,impanel
incommunicado,incommunicado
manifesto,manifesto
restrict,restrict
turncocks,turncock
undeniable,undeniable
necessitated,necessitate
shipping-agents,shipping-agent
bated,bate
cased,case
dared,dare
snatchers,snatcher
remilitarization,remilitarization
badge,badge
cache,cache
cellular,cellular
incorrect,incorrect
redid,redo
romanticize,romanticize
bequeaths,bequeath
employee,employee
pushchairs,pushchair
winceyette,winceyette
kite-balloon,kite-balloon
reheard,rehear
honed,hone
attachments,attachment
disquietingly,disquietingly
evade,evade
penalizing,penalize
woodwind,woodwind
budge,budge
expectation,expectation
husbands,husband
elate,elate
intermediate,intermediate
lanyard,lanyard
beachhead,beachhead
lazes,laze
paves,pave
rates,rate
recreations,recreation
tares,tare
cycle,cycle
erase,erase
bitching,bitch
particularize,particularize
pigeon-toed,pigeon-toed
rites,rite
tires,tire
gloat,gloat
mustachio,mustachio
botching,botch
econometrics,econometrics
anaesthetic,anaesthetic
responsible,responsible
adult,adult
rotas,rota
tarns,tarn
taros,taro
terms,term
terns,tern
groat,groat
tarts,tart
hunching,hunch
unfledged,unfledged
serialize,serialize
woods,wood
tiros,tiro
woofs,woof
turds,turd
nexus,nexus
raider,raider
palliasse,palliasse
turfs,turf
outrun,outrun
wools,wool
ghost,ghost
manger,manger
gather,gather
mender,mender
moderators,moderator
tyres,tyre
verbose,verbose
wronging,wrong
mincer,mincer
ventriloquists,ventriloquist
grumblers,grumbler
minder,minder
dewier,dewy
meliorism,meliorism
acetate,acetate
confections,confection
manner,manner
moist,moist
parodists,parodist
steamroller,steamroller
oilier,oily
torts,tort
bandleader,bandleader
emanate,emanate
raiser,raiser
turns,turn
poisonously,poisonously
quest,quest
monger,monger
scrapping,scrap
connections,connection
interested,interested,interest
deuces,deuce
hosier,hosier
kipper,kipper
number,number,numb
looker,looker
pokier,poky
fouler,foul
suppurates,suppurate
turps,turps
tyros,tyro
still-life,still-life
tea-set,tea-set
laggards,laggard
throwing,throw
unearthed,unearth
unhitched,unhitch
towing-paths,towing-path
viewer,viewer
fishes,fish
plumbed,plumb
audacity,audacity
dowser,dowser
looser,loose
looter,looter
threats,threat
devilry,devilry
pierced,pierce
gorges,gorge
prices,price
prides,pride
promiscuously,promiscuously
appearing,appear
arrowhead,arrowhead
gutter,gutter
strapping,strapping,strap
fusees,fusee
themes,theme
theses,thesis
